"50 m depth bin","Efflux (Pg CO2)"
-3400,3.61201292948883e-08
-3350,5.56811737283318e-09
-3300,NA
-3250,NA
-3200,NA
-3150,NA
-3100,6.57296005365979e-07
-3050,4.10111620728322e-07
-3000,3.33672659301619e-07
-2950,1.03424001738501e-06
-2900,5.35814501225355e-07
-2850,2.76277631247236e-08
-2800,8.69112351237339e-07
-2750,3.31595901620697e-06
-2700,2.686066034985e-06
-2650,7.28684909999533e-06
-2600,2.48554421176535e-06
-2550,8.03528399305894e-06
-2500,2.88084333959376e-06
-2450,5.22516615312419e-06
-2400,2.1929473056544e-05
-2350,4.30761348834786e-05
-2300,2.78383777009324e-05
-2250,3.37269161451406e-05
-2200,5.26338733348747e-05
-2150,6.99864339952933e-05
-2100,0.000144457629194902
-2050,0.00024882744332385
-2000,0.000508004042288623
-1950,0.000591146853322721
-1900,0.000689721889475634
-1850,0.000702643041943413
-1800,0.000802480037318042
-1750,0.000898348694508431
-1700,0.000770810930243119
-1650,0.000888269089590782
-1600,0.000956822820499613
-1550,0.00108249060599888
-1500,0.00122853985387748
-1450,0.0013386109579975
-1400,0.0014364101870351
-1350,0.00163286106320864
-1300,0.00183710939956366
-1250,0.0018190952302721
-1200,0.00212460321895863
-1150,0.00275040614612818
-1100,0.0032132230002524
-1050,0.00308938429786811
-1000,0.00336460749346295
-950,0.0043152189577814
-900,0.00527162924468155
-850,0.00546891679972803
-800,0.00619228575752751
-750,0.00859519004442734
-700,0.0110425111497225
-650,0.0132422518010391
-600,0.0153662331862988
-550,0.017687146627204
-500,0.0207374619711831
-450,0.022989188413162
-400,0.0261170529458687
-350,0.0338153027589696
-300,0.0456696092451748
-250,0.0554865950797313
-200,0.0774201418552672
-150,0.160820460945296
-100,0.445055215708041
-50,0.46917738699588
